zone,temperature,humidity,lightLux,dustMgPerM3,mq135Raw,mq135AirQualityDeviation,timestamp
zone1,31.8,68.9,62.5,0.12988,2831,2.202166,2026-04-21T10:54:10.605Z
zone1,31.8,69,62.5,0.133579,2822,1.877256,2026-04-21T10:54:15.597Z
zone1,31.8,69.1,62.5,0.137826,2816,1.66065,2026-04-21T10:54:20.619Z
zone1,31.8,69,61.66666,0.137141,2826,2.021661,2026-04-21T10:54:25.592Z
zone1,31.8,68.9,61.66666,0.135497,2829,2.129964,2026-04-21T10:54:30.592Z
zone1,31.8,69,62.5,0.133579,2830,2.166065,2026-04-21T10:54:35.598Z
zone1,31.8,68.9,62.5,0.134264,2826,2.021661,2026-04-21T10:54:40.591Z
zone1,31.8,68.9,62.5,0.135771,2818,1.732852,2026-04-21T10:54:45.592Z
zone1,31.8,68.9,62.5,0.131524,2830,2.166065,2026-04-21T10:54:50.591Z
zone1,31.8,68.9,62.5,0.135086,2826,2.021661,2026-04-21T10:54:55.605Z
zone1,31.8,68.9,62.5,0.134127,2827,2.057762,2026-04-21T10:55:00.606Z
zone1,31.8,68.9,62.5,0.133716,2825,1.98556,2026-04-21T10:55:05.601Z
zone1,31.8,68.9,62.5,0.134538,2827,2.057762,2026-04-21T10:55:10.585Z
zone1,31.8,68.9,62.5,0.13673,2815,1.624549,2026-04-21T10:55:15.605Z
zone1,31.8,68.9,62.5,0.137141,2827,2.057762,2026-04-21T10:55:20.585Z
zone1,31.8,68.9,62.5,0.134264,2829,2.129964,2026-04-21T10:55:25.597Z
zone1,31.8,69,62.5,0.133168,2829,2.129964,2026-04-21T10:55:30.602Z
zone1,31.8,68.8,62.5,0.130565,2827,2.057762,2026-04-21T10:55:35.593Z
zone1,31.8,68.8,61.66666,0.13536,2821,1.841155,2026-04-21T10:55:40.597Z
zone1,31.8,68.9,61.66666,0.127414,2821,1.841155,2026-04-21T10:55:45.596Z
zone1,31.7,69,61.66666,0.13536,2832,2.238267,2026-04-21T10:55:50.597Z
zone1,31.8,68.9,61.66666,0.136319,2825,1.98556,2026-04-21T10:55:55.600Z
zone1,31.8,68.9,61.66666,0.135497,2822,1.877256,2026-04-21T10:56:00.596Z
zone1,31.8,68.9,61.66666,0.134401,2829,2.129964,2026-04-21T10:56:05.597Z
zone1,31.8,68.9,61.66666,0.134675,2818,1.732852,2026-04-21T10:56:10.607Z
zone1,31.8,68.9,61.66666,0.134675,2825,1.98556,2026-04-21T10:56:15.592Z
zone1,31.8,68.9,60.83333,0.134675,2823,1.913357,2026-04-21T10:56:20.590Z
zone1,31.8,68.9,60.83333,0.133442,2828,2.093863,2026-04-21T10:56:25.600Z
zone1,31.8,69,60.83333,0.133442,2830,2.166065,2026-04-21T10:56:30.584Z
zone1,31.8,69.4,60.83333,0.130291,2831,2.202166,2026-04-21T10:56:35.587Z
zone1,31.8,69.3,61.66666,0.137141,2820,1.805054,2026-04-21T10:56:40.590Z
zone1,31.8,69.1,61.66666,0.137004,2826,2.021661,2026-04-21T10:56:45.591Z
zone1,31.8,69.1,61.66666,0.13536,2827,2.057762,2026-04-21T10:56:50.594Z
zone1,31.8,69,61.66666,0.133031,2825,1.98556,2026-04-21T10:56:55.613Z
zone1,31.8,69,60.83333,0.140703,2831,2.202166,2026-04-21T10:57:00.592Z
zone1,31.8,69,61.66666,0.132757,2824,1.949459,2026-04-21T10:57:05.599Z
zone1,31.8,69,61.66666,0.137141,2821,1.841155,2026-04-21T10:57:10.588Z
zone1,31.8,69.3,61.66666,0.140018,2827,2.057762,2026-04-21T10:57:15.582Z
zone1,31.8,69.3,61.66666,0.137689,2823,1.913357,2026-04-21T10:57:20.583Z
zone1,31.8,69.1,61.66666,0.138648,2822,1.877256,2026-04-21T10:57:25.594Z
zone1,31.8,69.1,61.66666,0.135497,2828,2.093863,2026-04-21T10:57:30.590Z
zone1,31.8,69.1,61.66666,0.136456,2827,2.057762,2026-04-21T10:57:35.589Z
zone1,31.8,69,61.66666,0.133031,2820,1.805054,2026-04-21T10:57:40.597Z
